AIRPORT,ELEV,ATIS,CLNC DEL,GND CONT,TOWER,APC CONT
KNGP,19',290.9/127.9 (1),314.3 (2),257.85 /118.7 (3),340.2/134.85 (4),348.725/120.9 (6)
KCRP,46',126.8 (31),118.55 (32),269.15/121.9 (33),257.8/119.4 (34),348.725/120.9 (6)
KVCT,115',119.025 (41),-,239.25/120.525 (43),257.95/126.075 (44),135.05 (22)
KMFE,107',128.5,-,121.8,256.9/118.5,377.2/165.55
KHRL,36',124.85,-,121.7,317.6/119.3,279.5/120.7
KALI,178',119.225,-,-,123.0 (C),290.45/119.9 (45)
KRKP,24',119.275 (1),-,-,123.05 (21),233.7/132.825 (8)
KCLL,321',126.85,120.4/128.7,284.7/128.7,284.7/118.5,360.85/134.3
KSAT,809',118.9,126.7,348.6/121.9,257.8/119.8,307.0/125.1
KAUS,542',124.4,263.0/125.5,348.6/121.9,281.5/121.0,317.65/127.225*
KPKV,32',118.275,-,-,122.8 (C),135.05 (22)
KROW,3671',306.2/128.45 (91),132.875/282.25 (92),348.6/121.9 (93),233.7/118.5 (94),239.0/119.6 (95)
KATS,3545',126.725 (35),-,-,235.825/123.075(36),239.0/119.6 (95)
KHOB,3661',119.75 (45),-,121.9 (46),120.65 (47), 298.95/133.1
KLBB,3282',270.275/125.3,281.55/125.8,348.6/121.9,239.3/120.5,351.8/119.2
KPVW,3374',119.675,118.4,-,123.0 (C),351.8/119.2
KSJT,1919',319.0/128.45,-,348.6/121.9,284.7/118.3, 354.1/125.35
T69,48',118.25,-,-,122.8 (C),348.725/120.9 (6)
