TTC,,,,,,,,,,,,
Alt,Time,,,,Fuel,,,,Dist,,,
,-20,0,10,20,-20,0,10,20,-20,0,10,20
31000,15,19,24,,133,152,179,,44,60,81,
30000,14,17,21,,127,142,164,,41,54,70,
29000,13,16,20,,122,136,155,,38,50,64,
28000,12,15,18,,116,129,146,,36,46,59,
27000,12,14,17,,111,122,137,,33,42,53,
26000,11,13,15,,106,116,128,,31,38,47,
25000,10,12,14,18,101,109,119,150,28,34,41,57
24000,10,11,13,17,97,104,113,135,27,32,38,52
23000,9,10,12,15,93,99,107,126,25,30,36,47
22000,9,10,11,14,89,94,101,118,24,28,33,43
21000,8,9,10,13,84,89,95,110,22,25,30,38
20000,8,8,9,12,80,84,89,102,20,23,27,34
19000,7,8,9,11,76,79,84,96,19,22,25,31
18000,7,7,8,10,72,75,79,90,18,20,23,29
17000,7,7,8,9,69,71,75,84,17,18,21,26
16000,6,6,7,8,65,66,70,78,16,17,19,23
15000,6,6,6,7,61,62,65,71,14,15,17,21
14000,5,5,6,7,57,58,60,66,13,14,15,19
13000,5,5,5,6,53,54,56,61,12,13,14,17
12000,5,5,5,6,49,50,51,56,11,12,13,15
11000,4,4,4,5,45,46,47,51,10,11,11,13
10000,4,4,4,4,41,42,42,46,9,10,10,12
9000,3,3,3,4,37,38,38,41,8,9,9,10
8000,3,3,3,3,33,34,34,36,7,8,8,9
7000,3,3,3,3,29,29,30,32,6,7,7,8
6000,2,2,2,3,25,25,26,27,5,6,6,6
5000,2,2,2,2,21,21,21,22,4,5,5,5
4000,1,1,1,2,17,17,17,18,3,4,4,4
3000,1,1,1,1,13,13,13,13,3,3,3,3
2000,1,1,1,1,8,8,9,9,2,2,2,2
